utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/ZZ/ZZ-ssr.xml? Trying to re-download
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - WARNING - ssr:stedsnr = 786784 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - WARNING - ssr:stedsnr = 788024 has multiple (29) positions, using the first one!
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - WARNING - ssr:stedsnr = 662013 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - WARNING - ssr:stedsnr = 662053 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
utility_to_osm - ERROR - language priorty missing from file, inventing language_priority = nor-dan-deu-eng-fin-fkv-isl-kal-rus-sma-sme-smj-sms-swe
